ROW_NAMES,Halo_ARID4A_REPLICATE_dS_AVG,Halo_ARID4B_REPLICATE_dS_AVG,Halo_BRMS1_REPLICATE_dS_AVG,Halo_BRMS1L_REPLICATE_dS_AVG,Halo_GATAD1_REPLICATE_dS_AVG,HDAC1.Halo_REPLICATE_dS_AVG,HDAC2_Halo_REPLICATE_dS_AVG,Halo_ING1_REPLICATE_dS_AVG,Halo_ING2_REPLICATE_dS_AVG,MORF4L1_Halo_REPLICATE_dS_AVG,Halo_PHF12_REPLICATE_dS_AVG,Halo_RBBP4_REPLICATE_dS_AVG,Halo_SAP30_REPLICATE_dS_AVG,Halo_SAP30L_REPLICATE_dS_AVG,Halo_SAP130_REPLICATE_dS_AVG,SIN3A_Halo_REPLICATE_dS_AVG,SIN3B_2_Halo_REPLICATE_dS_AVG,Halo_SUDS3_REPLICATE_dS_AVG,complex
PABPC4,-0.4625998,-0.609742,0.2037201,1.410291,10.26917,-0.6591087,-1.340691,-0.5888554,1.315492,0.315505,27.50873,0.6415048,-0.3798937,-1.059332,-1.093642,0.6454524,-0.4117224,-0.01309011,0
DECR1,-0.3020591,2.245102,0,62.02491,0,-3.524182,0,0,0,0,0,0,9.378738,15.13077,-0.9641678,0.3156969,-0.8262211,10.14383,0
FOXK2,0,-0.6360329,1.301436,-0.2637883,0,-1.920225,-0.7114173,11.27234,0,0,0,0,3.574656,0.8356335,-0.6881517,-0.6399123,-0.6633034,32.14267,0
HSPH1,-0.5325474,2.157822,-0.4183619,-0.3422283,-0.1316973,-0.6853131,0,0,-0.4920991,0,0,3.112647,1.992901,-1.132955,52.2181,0,0,-0.238232,0
KPNA4,0,0,0,0,-0.6615647,20.55938,3.534133,0,-0.3710543,12.69367,0.935354,12.81623,-0.6861494,0,-1.813417,0,46.87819,-1.158465,0
S100A9,-0.5969993,0,-0.5827595,-0.2669967,0,-1.224885,-1.465211,0,49.0803,0,0,-0.8949286,-0.5930974,39.68988,-1.549455,0,-0.7651122,-0.6483283,0
SMARCA5,-0.3429801,-0.4143329,0,-0.2409146,0,-0.8564961,-1.035786,0,-0.3074147,0,0,47.20042,-0.3160687,-0.5557245,0.3906422,0,-0.8931508,0,0
CANX,-0.7974,-0.9401055,-0.514894,-0.6018465,-0.4734661,0,0,0,-0.8126928,0,0.2529246,-1.04502,-0.5450754,-1.749536,-0.9496592,-0.8426274,122.7838,-0.6403402,0
SAP30L,1.057199,0,-0.3220155,5.740455,0,-3.863604,-3.253922,-1.500478,-1.13246,0,0,-0.5376851,0,118.3973,3.415946,-1.973976,0,-0.8787989,0
MTA3,0,0,0,0,0,-3.28503,97.88404,0,0,0,0,15.06397,0,0,-0.3458019,0,0,0,0
ZNF219,0,0,0,0,0,67.39872,14.31774,0,0,0,0,12.04507,0,0,0,0,0,0,0
HSPA4L,0,-0.4644877,-0.2622851,-0.376229,-0.1928465,-0.6228824,-0.6529889,-0.3328627,-0.3672377,0,-0.1734011,-0.2768527,-0.3442604,0,55.55669,0,0,-0.2210291,0
RCOR3,-0.4581988,0,0,0,0,40.13001,157.6894,0,0,0,0,0,0,0,0,0,0,0,0
MIER3,0,0,0,0,0,17.6138,111.4875,0,0,0,0,0,0,0,0,0,0,0,0
MORF4L2,0,0,0,0,0,0,0,0,0,10.76927,99.4583,0,0,0,0,0,0,0,0
ZNF512B,0,0,0,0,0,-4.147934,0,0,0,0,0,218.9028,0,0,0,0,0,0,0
BCL11B,0,0,0,0,0,70.45421,34.79699,0,0,0,0,-0.8891362,0,0,0,0,0,0,0
TRERF1,0,0,0,0,0,96.43915,11.26765,0,0,0,0,0,0,0,0,0,0,0,0
ZNF521,0,0,0,0,0,69.52543,8.869546,0,0,0,0,-0.9339724,0,0,0,0,0,0,0
MRFAP1,0,0,0,0,0,0,0,0,0,2298.892,0,0,0,0,0,0,0,0,0
MRGBP,0,0,0,0,0,0,0,0,0,1507.332,0,0,0,0,0,0,0,0,0
BRD8,0,0,0,0,0,0,0,0,0,3221.148,0,0,0,0,0,0,0,0,0
SGF29,0,0,0,0,0,0,0,481.8706,0,0,0,0,0,0,0,0,0,0,0
